,Loan_Amount,Monthly_Salary,Total_Income_for_Join_Application,Total_Sum_of_Loan,Years_to_Financial_Freedom,Loan_Tenure_Year,Credit_Card_Exceed_Months,State,Credit_Card_types,Years_for_Property_to_Completion,Number_of_Bank_Products,Decision
1213,0.5,0.06,0.56,0.79,11,9,1,4,1,0,0,0
1214,0.66,0.95,0.11,0.31,11,13,1,4,1,0,0,0
1215,0.96,0.41,0.62,0.19,11,11,1,4,1,0,0,0
1216,0.47,0.12,0.34,0.46,10,12,1,4,2,0,1,0
1217,0.35,0.91,0.46,0.55,8,14,1,4,1,0,0,0
1218,0.47,0.77,0.17,0.97,11,11,1,4,0,0,0,0
1219,0.91,0.7,0.61,0.45,11,11,1,4,1,0,0,0
1220,0.37,0.13,0.69,0.61,11,9,1,4,0,0,0,0
1221,0.37,0.24,0.03,0.41,11,1,1,4,0,1,2,0
1222,0.06,0.39,0.41,0.95,11,5,1,4,1,0,0,0
1223,0.39,0.65,0.84,0.94,11,7,1,4,1,0,0,0
1224,0.92,0.32,0.26,0.04,11,3,1,4,0,0,0,1
1225,0.63,0.5,0.26,0.95,11,4,1,4,1,0,1,0
1226,0.26,0.52,0.78,0.64,11,7,1,4,0,0,0,0
1227,0.08,0.53,0.01,0.58,11,14,1,4,1,2,1,0
1228,0.6,0.04,0.4,0.18,11,5,1,4,1,0,0,0
1229,0.33,0.29,0.44,0.5,11,4,1,4,1,0,0,1
1230,0.35,0.9,0.63,0.3,11,7,1,4,0,0,3,0
1231,0.05,0.56,0.63,0.75,11,3,1,4,2,0,0,0
1232,0.54,0.94,0.48,0.64,10,14,1,4,1,1,0,0
1233,0.56,0.08,0.92,0.65,10,2,1,4,1,0,0,0
1234,0.02,0.97,0.1,0.89,10,11,1,4,0,0,0,1
1235,0.61,0.82,0.0,0.03,11,5,1,4,0,0,0,1
1236,0.67,0.64,0.8,0.93,11,13,1,4,1,0,0,0
1237,0.01,0.88,0.37,0.31,11,0,1,4,1,0,0,0
1238,0.38,0.52,0.96,0.51,11,10,1,4,1,0,0,0
1239,0.45,0.59,0.4,0.91,11,0,1,4,1,0,0,0
1240,0.28,0.16,0.83,0.3,11,3,1,4,1,0,0,0
1241,0.5,0.15,0.5,0.81,11,11,1,4,1,0,0,1
1242,0.38,0.28,0.56,0.96,10,3,1,4,1,0,0,0
1243,0.51,0.47,0.97,0.46,12,14,1,4,0,0,0,0
1244,0.35,0.24,0.27,0.12,11,7,1,4,1,0,0,0
1245,0.62,0.56,0.41,0.98,11,7,1,4,1,0,1,0
1246,0.18,0.31,0.4,0.24,11,6,1,4,1,0,0,0
1247,0.49,0.96,0.27,0.85,10,9,1,4,0,2,1,0
1248,0.21,0.36,0.41,0.44,10,13,1,4,0,0,0,1
1249,0.44,0.82,0.68,0.9,11,0,1,4,1,0,0,0
1250,0.5,0.76,0.87,0.4,12,3,1,4,1,0,0,0
1251,0.53,0.85,0.63,0.83,11,5,1,4,1,0,0,0
1252,0.77,0.5,0.74,0.84,11,7,1,4,1,0,0,0
1253,0.31,0.3,0.38,0.11,11,6,1,4,1,0,0,1
1254,0.5,0.99,1.0,0.51,9,6,1,4,0,0,3,0
1255,0.49,0.72,0.25,0.73,11,5,1,4,1,0,0,0
1256,0.77,0.92,0.37,0.26,11,12,1,4,0,0,0,1
1257,0.24,0.03,0.4,0.97,11,5,1,4,1,0,0,0
1258,0.64,0.45,0.6,0.93,11,6,1,4,1,0,2,0
1259,0.63,0.48,0.95,0.43,11,6,1,4,0,0,0,0
1260,0.15,0.91,0.78,0.7,10,9,1,4,1,0,0,1
1261,0.68,0.72,0.23,0.31,11,4,1,4,1,0,0,0
1262,0.52,0.77,0.17,0.4,11,3,1,4,1,0,0,0
1263,0.99,0.46,0.38,0.02,11,1,1,4,1,0,0,0
1264,0.36,0.55,0.57,0.51,11,2,1,4,1,1,0,1
1265,0.1,0.26,0.51,0.26,11,3,1,4,0,0,0,0
1266,0.68,0.44,0.79,0.18,11,1,1,4,1,0,0,0
1267,0.14,0.49,0.96,0.98,11,3,1,4,1,0,1,0
1268,0.5,0.43,0.53,0.67,11,14,1,4,0,0,0,0
1269,0.31,0.26,0.4,0.64,11,11,1,4,1,0,0,1
1270,0.95,0.38,0.7,0.01,10,6,1,4,1,0,2,1
1271,0.12,0.61,0.87,0.41,12,6,1,4,1,0,0,0
1272,0.67,0.25,0.42,0.92,11,5,1,4,1,0,0,0
1273,0.04,0.95,0.28,0.24,11,9,1,4,0,0,0,1
1274,0.01,0.46,0.9,0.77,11,10,1,4,2,2,0,0
1275,0.28,0.55,0.37,0.49,11,5,1,4,1,0,0,0
1276,0.99,0.03,0.4,0.62,11,6,1,4,1,0,1,0
1277,0.64,0.24,0.46,0.68,10,11,1,4,1,1,0,0
1278,0.34,0.49,0.41,0.92,11,2,1,4,1,0,0,0
1279,0.04,0.42,0.53,0.89,11,8,1,4,2,0,0,0
1280,0.37,0.73,0.99,0.48,11,4,1,4,1,0,0,0
1281,0.69,0.59,0.45,0.04,11,9,1,4,0,0,0,0
1282,0.57,0.38,0.4,0.1,11,11,1,4,1,0,0,0
1283,0.57,0.8,0.45,0.15,11,11,1,4,1,0,0,0
1284,0.38,0.34,0.36,0.39,11,7,1,4,0,0,0,0
1285,0.06,0.47,0.7,0.64,10,13,1,4,1,0,0,0
1286,0.27,0.43,0.19,0.35,11,2,1,4,1,0,0,1
1287,0.01,0.95,0.3,0.12,11,10,1,4,1,0,0,0
1288,0.49,0.97,0.03,0.01,11,14,1,4,0,0,0,1
1289,0.7,0.49,0.5,0.32,11,8,1,4,1,1,0,0
1290,0.46,0.86,0.97,0.95,11,3,1,4,1,0,0,0
1291,0.71,0.59,0.39,0.52,11,5,1,4,1,0,0,0
1292,0.19,0.23,0.07,0.68,11,12,1,4,0,0,0,0
1293,0.84,0.65,0.17,0.5,11,5,1,4,0,0,0,1
1294,0.48,0.95,0.06,0.8,11,9,1,4,1,0,2,0
1295,0.5,0.28,0.52,0.59,11,14,1,4,1,2,1,0
1296,0.49,0.5,0.4,0.54,11,0,1,4,1,0,0,0
1297,0.29,0.07,0.4,0.03,11,10,1,4,0,1,0,1
1298,0.64,0.62,0.43,0.03,11,5,1,4,1,0,1,0
1299,0.93,0.67,0.06,0.51,10,2,1,4,2,0,2,0
1300,0.76,0.16,0.9,0.46,11,9,6,4,1,0,0,0
1301,0.37,0.52,0.55,0.66,11,9,6,4,1,0,0,0
1302,0.35,0.72,0.85,0.19,11,9,6,4,2,0,0,0
1303,0.49,0.4,0.61,0.44,11,9,6,4,0,0,0,0
1304,0.67,0.43,0.2,0.31,12,0,6,4,1,0,0,1
1305,0.45,0.63,0.42,0.59,11,14,6,4,1,0,0,0
1306,0.49,0.72,0.54,0.21,11,0,6,4,1,0,0,0
1307,0.56,0.51,0.56,0.46,11,9,6,4,1,0,0,0
1308,0.67,0.35,0.29,0.62,11,9,6,4,1,0,0,0
1309,0.82,0.11,0.81,0.42,11,14,6,4,1,0,0,0
1310,0.31,0.28,0.89,0.52,10,8,6,4,1,0,1,0
1311,0.34,0.42,0.16,0.94,11,6,6,4,1,0,0,0
1312,0.01,0.49,0.98,0.6,11,5,6,4,1,0,0,0
1313,0.58,0.42,0.57,0.83,11,9,6,4,0,0,0,0
1314,0.09,0.64,0.55,0.18,11,13,6,4,2,0,1,0
1315,0.72,0.17,0.35,0.76,11,1,6,4,1,0,0,0
1316,0.54,0.5,0.39,0.67,11,3,6,4,1,0,0,0
1317,0.35,0.96,0.52,0.16,11,13,6,4,1,0,1,0
1318,0.4,0.42,0.93,0.43,11,13,6,4,1,0,0,0
1319,0.13,0.77,0.81,0.22,11,9,6,4,0,0,1,1
1320,0.71,0.26,0.55,0.97,11,8,6,4,1,0,0,1
1321,0.34,0.97,0.07,0.65,11,8,6,4,1,0,0,0
1322,0.63,0.74,0.0,0.78,11,13,6,4,0,2,0,0
1323,0.42,0.95,0.62,0.45,11,10,6,4,0,0,0,0
1324,0.16,0.72,0.39,0.24,11,6,6,4,2,1,0,0
1325,0.31,0.24,0.91,0.77,11,1,6,4,0,0,0,0
1326,0.69,0.36,0.56,0.66,10,0,6,4,1,0,0,0
1327,0.11,0.33,0.71,0.47,11,5,6,4,2,0,0,0
1328,0.33,0.2,0.43,0.36,11,6,6,4,0,0,0,1
1329,0.63,0.03,0.81,0.3,11,1,6,4,1,0,1,0
1330,0.29,0.59,0.53,0.19,11,12,6,4,1,0,1,1
1331,0.41,0.47,0.66,0.73,11,9,6,4,1,0,0,0
1332,0.16,0.51,0.29,0.15,11,12,6,4,1,1,0,0
1333,0.14,0.8,0.26,0.78,11,9,6,4,0,2,0,1
1334,0.51,0.65,0.62,0.76,11,10,6,4,1,0,0,0
1335,0.32,0.74,0.53,0.12,11,13,6,4,1,0,1,1
1336,0.43,0.5,0.77,0.81,10,1,6,4,0,0,0,0
1337,0.21,0.94,0.3,0.56,11,3,6,4,2,0,0,0
1338,0.38,0.46,0.13,0.41,11,8,6,4,1,0,0,0
1339,0.58,0.16,0.53,0.16,8,5,6,4,1,0,0,1
1340,0.98,0.2,0.42,0.65,11,10,6,4,1,0,0,0
1341,0.19,0.02,0.67,0.33,11,5,6,4,1,0,0,0
1342,0.02,0.5,0.85,0.57,11,12,6,4,2,0,0,0
1343,0.24,0.04,0.76,0.74,11,6,6,4,1,0,1,0
1344,0.52,0.38,0.44,0.85,11,8,6,4,0,1,0,0
1345,0.64,0.47,0.04,0.49,11,11,6,4,1,0,0,0
1346,0.1,0.05,0.2,0.5,11,9,6,4,1,1,0,0
1347,0.0,0.59,0.45,0.05,11,3,6,4,2,0,0,0
1348,0.46,0.43,0.53,0.58,11,5,6,4,1,0,0,0
1349,0.91,0.35,0.06,0.97,11,8,6,4,0,2,1,0
1350,0.39,0.33,0.93,0.24,11,14,6,4,1,0,0,0
1351,0.04,0.46,0.01,0.14,11,6,6,4,1,0,0,0
1352,0.11,0.75,0.73,0.46,11,9,6,4,0,0,0,0
1353,0.65,0.49,0.36,0.17,11,1,6,4,2,0,0,0
1354,0.99,0.52,0.44,0.48,10,4,6,4,0,0,0,0
1355,0.23,0.35,0.36,0.48,11,8,6,4,1,0,1,1
1356,0.53,0.68,0.53,0.15,11,0,6,4,1,0,0,1
1357,0.3,0.35,0.51,0.66,11,13,6,4,1,0,1,1
1358,0.68,0.26,0.72,0.65,11,3,6,4,0,0,0,0
1359,0.13,0.54,0.28,0.98,11,8,6,4,0,0,0,0
1360,0.88,0.86,0.46,0.27,11,7,6,4,1,0,0,0
1361,0.88,0.68,0.74,0.3,11,2,6,4,1,1,0,0
1362,0.93,0.49,0.37,0.24,10,1,6,4,2,0,0,0
1363,0.92,0.84,0.3,0.72,11,7,6,4,1,0,0,1
1364,0.23,0.49,0.14,0.83,11,4,6,4,2,0,0,0
1365,0.73,0.54,0.6,0.48,11,8,6,4,1,0,0,0
1366,0.77,0.26,0.67,0.09,11,7,6,4,1,0,0,0
1367,0.47,0.02,0.44,0.38,11,12,6,4,1,0,0,0
1368,0.7,0.95,0.26,0.9,11,10,6,4,1,0,0,0
1369,0.57,0.31,0.67,0.31,8,7,6,4,0,1,0,0
1370,0.56,0.16,0.44,0.65,11,3,6,4,1,0,0,0
1371,0.97,0.6,0.43,0.85,11,6,6,4,1,0,0,0
1372,0.47,0.23,0.01,0.55,11,3,6,4,1,2,1,0
1373,0.11,0.97,0.96,0.83,11,0,6,4,0,0,0,0
1374,0.01,0.09,0.9,0.98,11,9,6,4,1,0,1,0
1375,0.12,0.25,0.65,0.55,11,3,6,4,1,0,1,0
1376,0.78,0.72,0.39,0.76,11,11,6,4,1,0,0,0
1377,0.33,0.52,0.58,0.21,11,9,6,4,0,0,1,0
1378,0.61,0.48,0.45,0.71,11,1,6,4,1,0,0,0
1379,0.56,0.17,0.36,0.92,11,11,6,4,1,0,0,0
1380,0.86,0.46,0.06,0.05,11,11,6,4,1,0,0,0
1381,0.88,0.19,0.73,0.22,11,14,6,4,1,0,0,0
1382,0.23,0.78,0.66,0.01,11,2,6,4,1,0,2,0
1383,0.98,0.8,0.49,0.47,11,7,6,4,1,0,0,0
1384,0.53,0.25,0.24,0.26,11,9,6,4,1,2,1,0
1385,0.06,0.09,0.54,0.66,11,11,6,4,2,0,1,0
1386,0.55,0.48,0.37,0.84,11,4,6,4,1,0,0,1
1387,0.74,0.35,0.53,0.47,11,8,6,4,2,0,0,0
1388,0.5,0.6,0.46,0.96,11,8,6,4,1,0,0,1
1389,0.35,0.55,0.49,0.73,11,6,6,4,1,0,0,1
1390,0.16,0.01,0.21,1.0,11,9,6,4,0,0,0,0
1391,0.44,0.51,0.02,0.1,11,14,6,4,0,0,0,0
1392,0.74,0.03,0.9,0.93,11,12,6,4,1,0,0,0
1393,0.93,0.73,0.41,0.4,11,3,6,4,2,0,0,0
1394,0.9,0.5,0.3,0.94,11,5,6,4,1,0,0,0
1395,0.85,0.56,0.08,0.63,11,11,6,4,1,0,0,1
1396,0.69,0.04,0.48,0.53,11,10,6,4,0,0,0,0
1397,0.2,0.23,0.67,0.34,11,13,6,4,1,0,0,0
1398,0.66,0.5,0.49,0.95,11,7,6,4,1,0,0,0
1399,0.37,0.49,0.12,0.51,11,8,6,4,2,0,0,0
1400,0.56,0.37,0.41,0.27,12,2,2,4,1,1,0,0
1401,0.43,0.97,0.31,0.35,12,1,2,4,1,2,0,1
1402,0.63,0.35,0.01,0.88,12,3,2,4,1,2,2,1
1403,0.12,0.34,0.34,0.26,12,7,2,4,1,2,0,0
1404,0.78,0.72,0.25,0.24,12,9,2,4,1,2,1,0
1405,0.18,0.37,0.42,0.21,12,6,2,4,1,2,0,0
1406,0.62,0.37,0.78,0.78,12,1,2,4,1,2,0,0
1407,0.69,0.26,0.5,0.35,12,7,2,4,0,2,0,0
1408,0.77,0.63,0.15,0.54,12,9,2,4,0,2,0,1
1409,0.79,0.31,0.35,0.29,12,8,2,4,2,2,0,1
1410,0.63,0.52,0.57,0.72,12,6,2,4,2,2,0,0
1411,0.4,0.15,0.39,0.4,12,12,2,4,1,2,0,0
1412,0.93,0.31,0.18,0.44,12,10,2,4,0,2,0,0
1413,0.58,0.26,0.43,0.39,12,10,2,4,0,2,0,0
1414,0.19,0.15,0.78,0.15,12,7,2,4,1,2,0,0
1415,0.47,0.34,0.77,0.32,12,8,2,4,1,2,0,0
1416,0.79,0.35,0.77,0.38,11,14,2,4,0,2,0,0
1417,0.57,0.32,0.19,0.49,12,4,2,4,1,2,0,0
1418,0.8,0.04,0.55,0.27,12,11,2,4,1,2,0,0
1419,0.56,0.42,0.42,0.84,12,9,2,4,0,2,0,1
1420,0.98,0.54,0.35,0.89,12,4,2,4,1,1,0,1
1421,0.54,0.65,0.62,0.98,12,13,2,4,1,2,0,0
1422,0.84,0.39,0.63,0.61,12,8,2,4,1,2,0,0
1423,0.48,0.22,0.39,0.82,10,0,2,4,1,2,0,0
1424,0.44,0.4,0.64,0.09,12,8,2,4,0,1,0,0
1425,0.74,0.13,0.68,0.44,12,11,2,4,1,2,0,1
1426,0.13,0.64,0.42,0.53,12,5,2,4,0,2,0,0
1427,0.85,0.21,0.58,0.42,12,11,2,4,1,2,0,0
1428,0.44,0.49,0.92,0.64,12,7,2,4,1,1,0,0
1429,0.48,0.54,0.36,0.06,12,3,2,4,1,2,0,0
1430,0.13,0.78,0.38,0.71,12,11,2,4,1,1,0,1
1431,0.94,0.35,0.8,0.6,12,4,2,4,1,2,0,0
1432,0.2,0.89,0.86,0.75,12,1,2,4,1,2,2,1
1433,0.55,0.36,0.87,0.43,12,8,2,4,0,1,0,1
1434,0.5,0.98,0.42,0.55,12,10,2,4,0,2,2,0
1435,0.5,0.32,0.23,0.19,12,7,2,4,1,2,1,0
1436,0.4,0.76,0.39,0.25,11,3,2,4,0,2,0,0
1437,0.04,0.58,0.14,0.93,12,13,2,4,0,2,0,1
1438,0.66,0.51,0.93,0.53,12,4,2,4,1,2,0,1
1439,0.88,0.49,0.81,0.58,10,14,2,4,1,2,0,0
1440,0.64,0.84,0.38,0.87,12,8,2,4,0,2,1,0
1441,0.25,0.15,0.99,0.84,10,9,2,4,1,2,1,0
1442,0.39,0.44,0.57,0.41,12,10,2,4,0,2,0,0
1443,0.57,0.92,0.45,0.46,12,10,2,4,1,1,0,0
1444,0.45,0.75,0.46,0.3,12,13,2,4,1,2,0,0
1445,0.86,0.18,0.39,0.56,12,4,2,4,1,2,0,0
1446,0.26,0.06,0.31,0.35,12,3,2,4,0,2,2,0
1447,0.95,0.66,0.96,0.77,10,13,2,4,1,2,1,0
1448,0.07,0.21,0.77,0.35,12,12,2,4,0,2,0,0
1449,0.67,0.85,0.09,0.42,12,5,2,4,2,2,0,0
1450,0.01,0.53,0.42,0.21,12,10,2,4,0,2,0,0
1451,0.59,0.35,0.4,0.18,12,10,2,4,1,2,0,0
1452,0.89,0.48,0.7,0.12,10,5,2,4,0,2,0,1
1453,0.4,0.28,0.92,0.22,12,2,2,4,1,2,1,0
1454,0.18,0.49,0.9,0.81,11,1,2,4,1,0,0,0
1455,0.42,0.49,0.51,0.84,12,13,2,4,0,2,0,0
1456,0.67,0.37,0.34,0.74,12,5,2,4,1,1,0,0
1457,0.96,0.3,0.36,0.58,12,14,2,4,0,2,0,1
1458,0.58,0.11,0.65,0.53,12,11,2,4,0,2,2,0
1459,0.76,0.75,0.03,0.76,12,6,2,4,1,2,0,1
1460,0.56,0.85,0.52,0.67,10,4,2,4,0,2,0,0
1461,0.42,0.96,0.38,0.16,12,11,2,4,1,2,1,0
1462,0.51,0.84,0.64,0.49,12,12,2,4,1,2,0,0
1463,0.6,0.43,0.54,0.69,12,14,2,4,0,2,0,0
1464,0.48,0.14,0.74,0.03,12,12,2,4,1,2,0,0
1465,0.72,0.65,0.26,0.21,10,0,2,4,1,2,0,1
1466,0.64,0.63,0.62,0.39,12,9,2,4,1,2,0,0
1467,0.78,0.18,0.89,0.3,12,9,2,4,1,2,0,0
1468,0.38,0.25,0.92,0.09,12,3,2,4,1,2,0,0
1469,0.56,0.9,0.7,0.96,12,11,2,4,1,2,0,0
1470,0.6,0.2,0.62,0.58,12,2,2,4,0,2,0,0
1471,0.9,0.6,0.65,0.7,12,7,2,4,0,2,1,0
1472,0.29,0.36,0.4,0.37,12,7,2,4,0,2,0,0
1473,0.54,0.59,0.17,0.38,12,7,2,4,1,2,0,0
1474,0.18,0.08,0.32,0.93,11,2,2,4,2,2,1,0
1475,1.0,0.3,0.37,0.04,12,0,2,4,1,2,0,0
1476,0.75,0.47,0.34,0.92,11,8,2,4,1,2,0,1
1477,0.77,0.25,0.12,0.37,12,4,2,4,1,2,0,0
1478,0.73,0.23,0.14,0.1,12,5,2,4,1,2,0,0
1479,0.87,0.43,0.42,0.43,12,10,2,4,1,2,1,0
1480,0.45,0.53,0.58,0.48,12,14,2,4,1,2,0,1
1481,0.81,0.3,0.97,0.47,12,7,2,4,1,2,0,0
1482,0.69,0.74,0.76,0.59,12,8,2,4,1,2,0,1
1483,0.62,0.78,0.31,0.42,12,7,2,4,1,2,0,0
1484,0.8,0.88,0.01,0.28,12,7,2,4,1,2,0,0
1485,0.65,0.53,0.5,0.41,12,12,2,4,0,1,0,1
1486,0.21,0.4,0.38,0.65,12,9,2,4,0,2,0,1
1487,0.65,0.76,0.62,0.34,12,5,2,4,1,1,0,1
1488,0.91,0.24,0.21,0.47,12,12,2,4,1,2,1,1
1489,0.61,0.07,0.63,0.77,12,12,2,4,0,2,2,0
1490,0.31,0.41,0.37,0.66,12,1,2,4,1,2,0,0
1491,0.46,0.22,0.58,0.65,12,2,2,4,0,2,0,1
1492,0.92,0.74,0.96,0.83,12,14,2,4,0,2,0,1
1493,0.89,0.34,0.58,0.85,12,7,2,4,0,2,0,1
1494,0.81,0.28,0.35,0.78,12,1,2,4,0,2,0,0
1495,0.09,0.54,0.32,0.87,12,5,2,4,1,2,1,1
1496,0.46,0.22,0.43,0.14,12,12,2,4,1,2,2,0
1497,0.28,0.67,0.07,0.38,12,12,2,4,2,2,0,0
1498,0.27,0.78,0.3,0.68,12,8,2,4,0,2,0,0
1499,0.58,0.99,0.33,0.04,12,7,2,4,1,2,0,1
1500,0.36,0.52,0.35,0.59,12,5,5,4,1,0,0,0
1501,0.3,0.17,0.53,0.73,12,13,5,4,1,0,0,0
1502,0.1,0.92,0.23,0.48,12,3,5,4,1,0,0,0
1503,0.26,0.57,0.07,0.52,12,10,5,4,0,0,0,0
1504,0.3,0.16,0.59,0.15,12,7,5,4,1,2,1,0
1505,0.96,0.14,0.32,0.67,11,14,5,4,2,0,0,1
1506,0.71,0.62,0.71,0.38,12,12,5,4,2,0,0,0
1507,0.3,0.35,0.3,0.25,12,3,5,4,1,0,0,1
1508,0.95,0.6,0.36,0.62,11,10,5,4,1,1,0,0
1509,0.6,0.5,0.29,0.63,12,3,5,4,1,0,0,1
1510,0.58,0.28,0.39,0.03,12,12,5,4,0,1,0,0
1511,0.28,0.85,0.33,0.0,12,2,5,4,2,0,0,0
1512,0.17,0.85,0.33,0.56,12,7,5,4,2,0,0,1
1513,0.12,0.75,0.38,0.19,12,6,5,4,0,1,0,0
1514,0.2,0.49,0.38,0.73,12,7,5,4,1,0,0,1
1515,0.09,0.45,0.17,0.43,12,12,5,4,1,0,1,0
1516,0.58,0.15,0.11,0.03,12,11,5,4,1,0,0,0
1517,0.2,0.24,0.24,0.33,12,5,5,4,1,0,0,0
1518,0.76,0.53,0.28,0.29,12,4,5,4,1,0,0,0
1519,0.12,0.53,0.11,0.49,12,0,5,4,1,0,0,0
1520,0.67,0.4,0.44,0.78,12,10,5,4,1,0,0,0
1521,0.39,0.52,0.34,0.51,12,12,5,4,1,0,0,0
1522,0.31,0.82,0.68,0.83,12,0,5,4,1,0,2,1
1523,0.52,0.42,0.42,0.11,11,3,5,4,1,0,0,1
1524,0.57,0.0,0.5,0.75,10,0,5,4,1,0,1,1
1525,0.99,0.26,0.28,0.7,12,5,5,4,1,0,0,0
1526,0.74,0.89,0.36,0.88,12,4,5,4,1,0,0,0
1527,0.0,0.79,0.37,0.28,10,0,5,4,1,0,0,0
1528,0.98,0.41,0.37,0.28,11,8,5,4,1,1,0,1
1529,0.48,0.59,0.23,0.51,12,3,5,4,1,0,0,0
1530,0.94,0.59,0.28,0.68,12,4,5,4,1,0,0,1
1531,0.99,0.06,0.28,0.7,12,7,5,4,1,0,0,0
1532,0.64,0.38,0.25,0.18,12,0,5,4,2,0,0,1
1533,0.27,0.57,0.42,0.49,12,6,5,4,1,0,0,1
1534,0.83,0.48,0.1,0.6,12,6,5,4,0,0,0,1
1535,0.72,0.78,0.85,0.42,12,4,5,4,0,0,0,0
1536,0.38,0.21,0.77,0.29,10,9,5,4,1,2,0,0
1537,0.69,0.67,0.5,0.62,11,13,5,4,2,0,1,0
1538,0.46,0.38,0.48,0.58,12,9,5,4,1,0,0,0
1539,0.73,0.53,0.22,0.46,12,3,5,4,1,0,0,0
1540,0.37,0.52,0.29,0.96,12,9,5,4,1,0,1,0
1541,0.38,0.47,0.28,0.6,12,5,5,4,1,0,0,0
1542,0.71,0.73,0.02,0.7,12,12,5,4,1,0,0,0
1543,0.37,0.74,0.37,0.59,10,1,5,4,1,0,0,0
1544,0.61,0.53,0.3,0.49,12,13,5,4,0,0,0,0
1545,0.58,0.59,0.28,0.51,12,4,5,4,1,0,0,0
1546,0.03,0.6,0.29,0.44,12,11,5,4,0,0,0,0
1547,0.33,0.88,0.4,0.28,12,8,5,4,1,0,0,1
1548,0.57,0.47,0.27,0.55,12,2,5,4,1,0,0,1
1549,0.94,0.24,0.31,0.56,12,11,5,4,0,0,0,0
1550,0.98,0.81,0.83,0.64,12,0,5,4,0,0,0,1
1551,0.47,0.41,0.36,0.49,12,4,5,4,0,0,0,0
1552,0.92,0.01,0.43,0.49,12,14,5,4,1,0,1,0
1553,0.06,0.21,0.74,0.39,12,9,5,4,0,0,0,0
1554,0.68,0.42,0.54,0.53,12,10,5,4,2,2,1,0
1555,0.64,0.5,0.03,1.0,12,2,5,4,1,0,0,0
1556,0.15,0.76,0.44,0.4,12,13,5,4,0,0,0,0
1557,0.06,0.0,0.53,0.92,12,12,5,4,1,0,0,0
1558,0.03,0.41,0.25,0.73,12,6,5,4,2,0,0,0
1559,0.54,0.32,0.82,0.14,12,14,5,4,1,0,0,0
1560,0.66,0.24,0.23,0.39,12,0,5,4,1,0,0,0
1561,0.51,0.1,0.59,0.5,12,9,5,4,0,2,1,1
1562,0.75,0.9,0.38,0.87,11,10,5,4,1,0,1,1
1563,0.3,0.47,0.42,0.14,11,13,5,4,0,0,0,0
1564,0.21,0.51,0.43,0.76,12,8,5,4,1,0,0,0
1565,0.31,0.02,0.33,0.68,12,5,5,4,1,0,0,0
1566,0.75,0.35,0.45,0.83,11,14,5,4,1,0,1,1
1567,0.45,0.96,0.48,0.69,10,9,5,4,1,0,0,1
1568,0.24,0.61,0.14,0.7,11,10,5,4,2,0,0,1
1569,0.32,0.45,0.13,0.76,12,6,5,4,1,0,1,0
1570,0.79,0.46,0.58,0.25,11,9,5,4,0,0,0,1
1571,0.58,0.91,0.55,0.98,12,0,5,4,1,0,1,0
1572,0.74,0.02,0.39,0.85,12,8,5,4,0,0,0,0
1573,0.66,0.09,0.7,0.13,12,3,5,4,0,0,0,0
1574,0.76,0.29,0.89,0.35,12,1,5,4,2,0,1,0
1575,0.33,0.03,0.28,0.48,12,6,5,4,1,0,0,0
1576,0.93,0.9,0.43,0.24,11,8,5,4,1,0,0,1
1577,0.58,0.78,0.53,0.66,12,1,5,4,1,0,0,0
1578,0.91,0.01,0.67,0.39,11,11,5,4,0,0,0,0
1579,0.93,0.47,0.31,0.92,12,3,5,4,1,0,0,0
1580,0.88,0.72,0.42,0.29,12,13,5,4,1,0,0,0
1581,0.06,0.22,0.97,0.46,12,11,5,4,1,0,1,0
1582,0.52,0.44,0.33,0.23,12,7,5,4,0,0,0,0
1583,0.89,0.73,0.39,0.27,12,8,5,4,1,0,0,0
1584,0.73,0.2,0.4,0.65,12,8,5,4,0,0,0,0
1585,0.7,0.43,0.07,0.48,12,2,5,4,1,0,0,0
1586,0.58,0.17,0.27,0.46,12,12,5,4,1,0,0,1
1587,0.02,0.1,0.54,0.58,12,14,5,4,0,2,1,1
1588,0.64,0.53,0.43,0.99,12,2,5,4,1,0,0,0
1589,0.24,0.66,0.4,0.58,12,5,5,4,1,0,0,0
1590,0.43,0.23,0.41,0.59,12,13,5,4,1,0,0,0
1591,0.66,0.99,0.78,0.66,12,5,5,4,0,0,0,0
1592,0.76,0.7,0.38,0.29,12,8,5,4,1,1,0,1
1593,0.4,0.62,0.33,0.74,12,4,5,4,1,0,0,0
1594,0.12,0.8,0.33,0.37,12,1,5,4,1,0,0,1
1595,0.35,0.54,0.75,0.42,12,3,5,4,0,2,0,1
1596,0.4,0.09,0.4,0.69,12,8,5,4,2,0,0,1
1597,0.98,0.33,0.42,0.5,12,9,5,4,1,0,0,0
1598,0.87,0.02,0.36,0.49,12,14,5,4,0,0,0,0
1599,0.04,0.31,0.49,0.93,11,7,5,4,1,2,0,0
1600,0.75,0.44,0.56,0.19,13,2,3,4,1,0,0,0
1601,0.76,0.02,0.41,0.4,13,9,3,4,1,0,0,0
1602,0.66,0.45,0.11,0.15,13,12,3,4,1,0,0,0
1603,0.06,0.19,0.25,0.52,13,5,3,4,1,0,0,0
1604,0.39,0.48,0.22,0.34,13,4,3,4,0,0,0,0
1605,0.65,0.12,0.66,0.01,13,12,3,4,1,0,0,0
1606,0.47,0.63,0.26,0.73,13,12,3,4,1,0,1,0
1607,0.82,0.25,0.38,0.66,10,9,3,4,1,0,0,0
1608,0.72,0.01,0.36,0.18,13,5,3,4,1,0,1,0
